code,pinyin,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
000525,HTY,红 太 阳,农药化肥,江苏,33.1,5.75,5.81,121.66,60.91,35.34,21.44,3.69,0.165,7.91,0.92,19931028,15.45,2.66,-27.73,-67.1,20.56,3.23,43937.0
000526,ZGXD,紫光学大,文教休闲,福建,120.67,0.96,0.96,35.52,13.58,1.97,0.58,0.6,0.316,1.36,37.54,19931101,-0.32,-0.33,-20.46,-52.46,26.82,1.57,8351.0
000528,LG,柳 工,工程机械,广西,8.32,14.63,14.76,338.21,243.66,30.55,31.39,2.13,0.67,7.54,0.99,19931118,58.69,3.98,18.9,12.91,20.23,5.89,82429.0
000529,GHKG,广弘控股,食品,广东,12.21,5.7,5.84,35.32,28.86,1.6,5.71,0.98,0.42,3.23,2.11,19931118,6.19,1.06,16.63,70.4,23.56,10.96,39488.0
000530,BSLR,冰山冷热,机械基件,辽宁,589.77,5.99,8.43,56.75,24.76,9.42,7.27,0.86,0.005,3.98,1.02,19931208,9.87,1.17,-8.03,-95.84,15.0,0.32,42230.0
000531,SHYA,穗恒运Ａ,火力发电,广东,6.29,6.85,6.85,121.77,35.52,27.45,11.31,1.65,1.119,7.37,1.27,19940106,28.25,4.12,15.85,121.78,28.92,29.2,29381.0
000532,HJZB,华金资本,多元金融,广东,22.87,3.44,3.45,24.86,9.45,1.0,0.26,0.07,0.401,2.83,4.32,19940103,5.42,1.57,23.38,453.28,46.77,41.15,33216.0
000533,SNGF,顺钠股份,电气设备,广东,99.66,6.85,6.91,24.35,18.79,1.98,0.41,0.06,0.024,0.9,3.6,19940103,-2.06,-0.3,10.44,1207.56,23.47,1.58,41260.0
000534,WZGF,万泽股份,生物制药,广东,61.37,4.92,4.92,20.27,6.5,3.98,0.0,0.0,0.142,2.02,5.74,19940110,5.01,1.02,-7.09,-14.45,84.06,18.7,18556.0
000536,STHY,*ST华映,元器件,福建,7.43,27.63,27.66,135.3,35.57,77.52,85.95,3.11,0.212,1.97,1.06,19931126,-64.73,-2.34,26.75,139.28,-19.16,40.14,58255.0
000537,GYFZ,广宇发展,区域地产,天津,5.02,17.31,18.63,699.52,617.95,14.6,17.21,0.92,1.03,8.09,0.85,19931210,110.02,5.91,5.03,-22.35,28.86,13.9,31619.0
000538,YNBY,云南白药,中成药,云南,21.71,6.02,12.77,521.61,471.15,19.7,174.28,13.64,3.33,29.85,3.23,19931215,182.52,14.29,10.56,20.08,29.61,17.77,93944.0
000539,YDLA,粤电力Ａ,火力发电,广东,9.48,25.54,52.5,817.93,135.38,419.46,50.97,0.97,0.299,5.16,0.73,19931126,65.79,1.25,-3.1,17.22,20.71,7.53,89268.0
000540,ZTJR,中天金融,多元金融,贵州,20.48,69.68,70.05,1332.41,799.06,35.16,11.06,0.16,0.11,2.64,1.18,19940202,97.46,1.39,-40.38,-46.69,31.5,13.33,204452.0
000541,FSZM,佛山照明,家用电器,广东,25.79,10.72,13.99,69.46,39.51,6.73,1.59,0.11,0.166,3.72,1.54,19931123,16.84,1.2,4.79,0.89,22.97,9.09,74937.0
000543,WNDL,皖能电力,火力发电,安徽,8.63,17.9,22.67,336.89,39.8,154.12,38.17,1.68,0.35700000000000004,6.41,0.64,19931220,47.63,2.1,0.89,16.81,8.57,6.89,56714.0
000544,ZYHB,中原环保,环境保护,河南,12.22,9.75,9.75,146.02,42.8,26.23,38.69,3.97,0.46,6.34,1.18,19931208,10.62,1.09,29.51,73.79,42.7,31.04,33971.0
000545,JPTY,金浦钛业,化工原料,吉林,0.0,9.59,9.87,30.37,12.62,11.23,-0.64,-0.06,-0.054000000000000006,2.03,1.97,19931215,10.17,1.03,-15.61,-201.93,9.2,-4.36,60911.0
000546,JYGF,金圆股份,水泥,吉林,10.61,6.88,7.15,100.22,41.69,39.16,16.16,2.26,0.5710000000000001,6.31,1.28,19931215,20.32,2.84,6.31,1.37,13.45,6.8,20690.0
000547,HTFZ,航天发展,通信设备,福建,58.63,12.05,16.05,116.15,63.91,6.74,53.9,3.36,0.26,5.0,4.07,19931130,22.18,1.38,22.37,35.79,34.65,14.53,82279.0
000548,HNTZ,湖南投资,路桥,湖南,21.59,4.99,4.99,20.48,11.0,2.05,4.78,0.96,0.14300000000000002,3.56,1.16,19931220,6.74,1.35,45.34,76.52,34.83,23.74,66310.0
000550,JLQC,江铃汽车,汽车整车,江西,37.46,5.18,8.63,265.11,174.46,50.84,8.39,0.97,0.42,12.51,1.66,19931201,86.72,10.05,8.19,127.42,15.74,1.62,31334.0
000551,CYKJ,创元科技,专用机械,江苏,30.26,4.0,4.0,49.38,32.42,8.96,3.68,0.92,0.22,4.75,1.87,19940106,8.13,2.03,-6.74,5.22,24.12,3.85,33432.0
000552,JYMD,靖远煤电,煤炭开采,甘肃,13.26,22.84,22.87,109.49,51.74,32.04,18.43,0.81,0.16699999999999998,3.46,0.85,19940106,27.83,1.22,-6.25,-0.42,27.02,13.97,45436.0
000553,ADMA,安道麦A,农药化肥,湖北,66.09,21.77,23.44,482.93,287.11,67.58,130.23,5.56,0.09,9.37,0.9,19931203,57.43,2.45,3.0,-71.68,29.36,1.08,48733.0
