代码	名称	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	货币资金(亿)	存货(亿)	应收帐款(亿)	预收账款(亿)	资本公积金(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	扣非净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	股息率%	每股收益	每股净资	调整后净资	每股公积	每股未分配	每股现金流	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	研发费用(亿)	员工人数	交易代码	自选日	自选价	自选收益%	
000016	深康佳Ａ	20201209	19920327	         24.08	          8.11	--  	447.85	85.19	         18.53	76.84	254.11	23.97	11.36	230.38	65.79	50.06	58.79	--  	2.30	298.01	278.75	5.77	19.32	5.86	5.42	6.15	-14.94	47.35	-11.76	4.80	135908.00	         13864	8.93万	36.60	-28.50	          1.82	-13.19	0.52	0.78	0.256㈢	          3.54	0.00	          0.10	          1.97	         -0.49	         19.02	   7.22㈢	          6.46	          1.94	          2.06	4.87	19286	000016	--  	--  	--  	
000017	*ST中华A	20201026	19920331	          5.51	          2.48	--  	0.96	0.12	          0.15	71.56	0.91	0.04	0.00	0.69	0.19	0.04	0.62	0.10	6.28	0.83	0.70	0.05	0.00	0.06	0.06	0.05	0.05	-11.99	0.03	0.13	41258.00	         11824	2.96万	2082.18	31.86	        111.32	428.56	16.63	0.00	0.010㈢	          0.02	0.00	          1.14	         -2.18	          0.01	         12.90	  42.51㈢	         15.12	          6.52	          6.35	0.01	59	000017	--  	--  	--  	
000019	深粮控股	20201029	19921012	         11.53	          0.52	--  	71.31	45.01	          2.03	34.04	41.88	11.22	5.81	13.92	2.16	31.70	1.77	3.57	14.23	79.38	71.37	3.21	0.16	3.17	3.12	3.10	2.91	15.75	3.91	0.61	64561.00	          4994	3.87万	-5.75	6.11	          1.98	22.82	1.13	2.58	0.269㈢	          3.91	0.00	          1.23	          1.37	          0.34	         63.12	   6.90㈢	         10.08	          4.04	          3.91	0.12	1189	000019	--  	--  	--  	
000020	深华发Ａ	20201028	19920428	          2.83	          1.02	--  	6.30	3.34	--  	46.91	3.39	1.94	0.41	2.27	0.40	0.62	1.80	0.03	1.47	5.01	4.37	0.06	0.00	0.06	0.05	0.05	0.04	-1.73	0.14	-0.15	21195.00	          7732	7.58万	43.66	-8.77	          8.30	202.69	5.54	0.00	0.017㈢	          1.18	0.00	          0.52	         -0.61	          0.05	         53.09	   1.45㈢	         12.80	          1.10	          0.97	0.04	998	000020	--  	--  	--  	
000021	深科技	20201102	19940202	         14.71	--  	--  	220.01	72.35	          2.38	66.03	148.11	31.49	5.56	129.34	82.61	22.42	23.51	--  	7.75	105.72	93.07	6.47	0.26	6.47	5.32	4.46	3.61	36.39	9.48	-2.50	118234.00	          6968	14.41万	62.25	4.81	          4.21	32.10	2.88	0.29	0.303㈢	          4.92	0.00	          0.53	          2.47	          0.64	         32.89	   6.16㈢	         11.96	          6.12	          4.22	1.86	29676	000021	--  	--  	--  	
000023	深天地Ａ	20201028	19930429	          1.39	--  	--  	23.82	4.69	          1.22	75.22	20.16	1.55	0.03	17.76	3.24	3.25	10.47	--  	1.03	10.43	9.40	0.19	-0.01	0.19	0.07	-0.04	-0.06	1.76	0.80	-1.13	9640.00	          7880	13.25万	-107.08	-17.68	          4.98	29.24	2.24	0.06	-0.028㈢	          3.38	0.00	          0.74	          1.27	          0.57	         19.68	  -0.82㈢	          9.94	          1.79	         -0.37	0.08	1080	000023	--  	--  	--  	
000025	特 力Ａ	20201120	19930621	          4.31	          0.38	--  	16.54	12.92	          0.73	17.43	6.59	1.03	0.50	2.82	2.21	0.16	0.25	0.20	4.31	2.94	2.31	0.49	0.20	0.50	0.41	0.40	0.34	4.09	1.14	-2.08	49357.00	          3107	5.37万	-38.11	-30.95	          5.77	65.66	25.36	0.24	0.092㈢	          3.00	0.00	          1.00	          0.95	          0.26	         78.15	   3.07㈢	         21.40	         16.62	         13.49	--  	325	000025	--  	--  	--  	
000026	飞亚达	20201123	19930603	          4.28	          0.67	--  	40.28	27.47	          0.00	31.80	29.55	3.56	0.38	12.73	4.41	18.51	5.17	0.08	10.20	29.44	18.21	2.61	0.02	2.63	2.15	2.15	1.98	10.96	2.16	1.25	29586.00	          8810	10.26万	20.17	7.47	          1.81	23.05	1.69	1.72	0.490㈢	          6.42	0.00	          2.38	          2.56	          0.50	         68.20	   7.82㈢	         38.17	          8.87	          7.29	0.35	4994	000026	--  	--  	--  	
000027	深圳能源	20201207	19930903	         47.57	--  	--  	1096.79	363.27	         39.27	63.30	234.99	353.64	126.71	301.38	68.86	11.67	85.14	--  	39.49	146.99	99.27	25.79	3.20	45.38	41.84	38.95	18.28	127.05	45.03	18.63	108190.00	         11523	6.20万	127.42	-6.85	          0.94	5.68	1.74	0.77	0.819㈢	          5.74	5.74	          0.83	          2.67	          0.95	         33.12	  10.72㈢	         32.47	         17.54	         26.50	1.66	6935	000027	--  	--  	--  	
000028	国药一致	20201022	19930809	          4.28	          0.55	--  	420.13	135.54	         28.45	60.97	319.49	8.30	7.49	233.60	69.63	64.72	161.59	--  	43.73	428.81	379.45	15.30	2.12	15.19	12.21	9.98	9.81	84.93	19.83	-18.17	34927.00	          5234	27.79万	3.98	8.77	          1.68	11.46	0.53	1.13	2.330㈢	         31.66	0.00	         10.21	         19.84	          4.63	         32.26	   7.36㈢	         11.51	          3.57	          2.33	--  	27247	000028	--  	--  	--  	
000029	深深房Ａ	20201030	19930915	         10.12	          1.20	--  	46.85	37.00	         -1.42	24.06	39.72	0.28	0.00	11.19	24.58	13.21	0.56	0.11	9.78	12.18	6.06	2.74	0.16	2.76	1.99	1.99	1.98	14.97	0.97	9.51	76444.00	          4824	3.73万	-54.76	-36.03	          2.12	80.38	6.43	2.13	0.197㈢	          3.66	0.00	          0.97	          1.48	          0.10	         78.96	   5.37㈢	         50.27	         22.52	         16.33	--  	1925	000029	--  	--  	--  	
000030	富奥股份	20201119	19930929	         18.11	          0.48	--  	137.11	70.64	          9.45	41.59	72.06	23.58	6.47	46.63	11.84	8.29	25.02	0.12	5.23	81.10	68.80	7.58	4.10	7.56	7.14	6.94	6.69	43.68	2.10	-2.06	27756.00	         21616	14.76万	12.49	18.31	          1.75	58.91	1.52	2.39	0.400㈢	          3.90	0.00	          0.29	          2.41	          0.12	         51.52	   9.83㈢	         15.17	          9.35	          8.56	1.53	7445	000030	--  	--  	--  	
000031	大悦城	20201030	19931008	         42.86	--  	--  	1980.66	193.05	        245.96	77.84	1489.74	40.87	18.23	872.41	331.83	850.64	5.24	2.51	85.43	178.04	100.10	27.29	-7.27	28.20	14.68	7.60	7.39	56.01	63.77	58.70	136224.00	          7020	3.23万	-67.65	-20.30	          1.02	3.09	1.11	3.70	0.180㈢	          4.50	0.00	          1.99	          1.31	          1.49	          9.75	   3.94㈢	         43.78	         15.33	          4.27	--  	9462	000031	--  	--  	--  	
